Submitted by CCM,VID,Vessel Name,Flag,Registration Number,WIN,Previous Names,Reg Port,Owner Name,Owner Address,Master Name,Master Nationality,Previous Flags,IRCS,Communication Details,Built in Country,Built in Year,Vessel Type,Crew,Fishing Methods,Length,Length Type,Length Units,Moulded Depth,Moulded Depth Units,Beam,Beam Units,Tonnage,Tonnage Type,Engine Power,Power Units,Freezer Types,Freezing Capacity,Freezing Capacity Units,Number of Freezers,FishHold Capacity,FishHold Cap Units,Auth Type,Auth Number,Auth Area,Auth Species,Auth Period From,Auth Period To,Purse seine vessel authorised to tranship at sea,IMO-LR,Authorisation to tranship on the high seas,Under Charter,Charterer Name,Chartering CCM,Address of Charter,Charter Start Date,Charter End Date
Panama,11779,ANGEL NO. 2,Panama,50267-19,HPTG,JUPITER,Panama, ALL PERFECTION LIMITED,"VISTRA CORPORATE SERVICES CENTRE, WICKHAMS CAY II, ROAD TOWN, TORTOLA VG1110, BRITISH VIRGIN ISLANDS",MA ZHEN FENG ,China,PALAU,HPTG,"PSC HOLDING, S.A
 437336014",Japan,1996,BUNKER,20,,122.23,Overall,Meters,12.6,Meters,22,Meters,"9,488.00",GRT,5148,KW,,,,,,,,02-97-1382-197-866,WCPO,,31-Jan-19,31-Jan-21,Not specified,9146027,YES,NO,,,,,
Cook Islands,8723,LADY ANN II,Cook Islands,2118,E5U3018,KONA WIND,Avatiu, Ann Fishing Company Limited,"C/o- Cook Islands Trust and Banking Corporation Limited, Avarua, Rarotonga, Cook Islands.",Jeong Yong Yang,Korea (Democratic Republic of),Cook Islands,E5U3018,Inmarsat C: 451800030,United States of America,1988,Tuna longliner,8,Set longlines,25,Overall,Meters,3.7,Meters,7.9,Meters,181,GRT,761,HP,blast,80,metric tons,1,80,MT,High Seas License,CK18004-HS & CK18007-EEZ,WCPO High Seas,Tuna and tuna like species including Billfish,01-Jan-18,31-Dec-20,NO,8854342,NO,NO,,,,,
China,11120,FU YUAN YU 7082,China,(MIN)CHUANDENG(JI)(2017)FT-100033,BZ2UT,FU YUAN YU 864,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Chen Bao Fa,China,china,BZ2UT,Inmarsat C: 412440036,China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0651(2016)Guoyu(gong),Pacific Ocean,Albacore,03-Nov-16,31-Mar-19,Not specified,8685583,YES,NO,,,,,
China,11122,FU YUAN YU 7085,China,(MIN)CHUANDENG(JI)(2017)FT-100035,BZ4UT,FU YUAN YU 866,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province",Chen Hua Jin,China,china,BZ4UT,"Inmarsat C: 412440038
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0652(2016)Guoyu(gong),Pacific Ocean,Albacore,03-Nov-16,31-Mar-19,Not specified,8685600,YES,NO,,,,,
China,11123,FU YUAN YU 7086,China,(MIN)CHUANDENG(JI)(2017)FT-100036,BZ5UT,FU YUAN YU 867,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Wei Ding Gui,China,china,BZ5UT,"Inmarsat C:412440039
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0653(2016)Guoyu(gong),Pacific Ocean,Albacore,03-Nov-16,31-Mar-19,Not specified,8685612,YES,NO,,,,,
China,11124,FU YUAN YU 7087,China,(MIN)CHUANDENG(JI)(2017)FT-100037,BZ6UT,FU YUAN YU 868,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Zhou Zhen Hua,China,china,BZ6UT,"Inmarsat C:412440043
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0654(2016)Guoyu(gong),Pacific Ocean,Albacore,03-Nov-16,31-Mar-19,Not specified,8685624,YES,NO,,,,,
China,11125,FU YUAN YU 7088,China,(MIN)CHUANDENG(JI)(2017)FT-100038,BZ7UT,FU YUAN YU 869,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Lin Chao,China,china,BZ7UT,"Inmarsat C: 412440044
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,300,CuM,2,96,CuM,Longliner,GH-0449(2017)Guoyu(gong),Pacific Ocean,Albacore,01-Apr-17,31-Mar-20,Not specified,8685636,YES,NO,,,,,
China,11127,FU YUAN YU 7090,China,(MIN)CHUANDENG(JI)(2017)FT-100040,BZ9UT,FU YUAN YU 871,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Wang Er Fu,China,china,BZ9UT,"Inmarsat C: 412440046
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0656(2016)Guoyu(gong),Pacific Ocean,Albacore,03-Nov-16,31-Mar-19,Not specified,8685650,YES,NO,,,,,
China,11128,FU YUAN YU 7091,China,(MIN)CHUANDENG(JI)(2017)FT-100041,BZ1UM,FU YUAN YU 872,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Wang Ting Hai,China,china,BZ1UW,"Inmarsat C: 412440047
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0450(2017)Guoyu(gong),Pacific Ocean,Albacore,01-Apr-17,31-Mar-20,Not specified,8685662,YES,NO,,,,,
China,11707,FU YUAN YU 7968,China,ï¼ˆMINï¼‰CHUANDENG(JI)(2017)FT-200031,BZW8N,NONE,Fuzhou," Hongdong Fishery Co., Ltd","Technology Building, Pandu Township, Lianjiang County",LIN SHAOCHAO,China,NONE,BZW8N,CLS: 153082,China,2017,Longliner,18,Longlines (not specified),42.86,Registered,Meters,4.36,Meters,8.3,Meters,475,GRT,960,KW,Ice,10,MT,2,200,MT,Longliner,No.GH-0738ï¼ˆ2017ï¼‰Guoyu(gong),"EPO, Transhipment only in WCPO",ALBACORE,22-Jun-17,31-Mar-20,Not specified,9838022,YES,NO,,,,,
China,11708,FU YUAN YU 7969,China,ï¼ˆMINï¼‰CHUANDENG(JI)(2017)FT-200030,BZW9N,NONE,Fuzhou," Hongdong Fishery Co., Ltd","Technology Building, Pandu Township, Lianjiang County",ZHAO RIYOU,China,NONE,BZW9N,CLS: 153118,China,2017,Longliner,18,Longlines (not specified),42.86,Registered,Meters,4.36,Meters,8.3,Meters,475,GRT,960,KW,Ice,10,MT,2,200,MT,longline,No.GH-0739ï¼ˆ2017ï¼‰Guoyu(gong),EPO; Transhipment only in WCPO,ALBACORE,22-Jun-17,31-Mar-20,Not specified,9838034,YES,NO,,,,,
China,11709,FU YUAN YU 7970,China,ï¼ˆMINï¼‰CHUANDENG(JI)(2017)FT-200029,BZW1O,NONE,Fuzhou," Hongdong Fishery Co., Ltd","Technology Building, Pandu Township, Lianjiang County",FANG YONGEN,China,NONE,BZW1O,CLS: 153069,China,2017,Longliner,18,Longlines (not specified),42.86,Registered,Meters,4.36,Meters,8.3,Meters,475,GRT,960,KW,Ice,10,MT,2,200,MT,longline,No.GH-0740ï¼ˆ2017ï¼‰Guoyu(gong),EPO; Transhipment only in WCPO,ALBACORE,22-Jun-17,31-Mar-20,Not specified,9838046,YES,NO,,,,,
China,11710,FU YUAN YU 7971,China,ï¼ˆMINï¼‰CHUANDENG(JI)(2017)FT-200028,BZW2O,NONE,Fuzhou," Hongdong Fishery Co., Ltd","Technology Building, Pandu Township, Lianjiang County",WU HOUBO,China,NONE,BZW2O,CLS:154399,China,2017,Longliner,18,Longlines (not specified),42.86,Registered,Meters,4.36,Meters,8.3,Meters,475,GRT,960,KW,Ice,10,MT,2,200,MT,longline,No.GH-0741ï¼ˆ2017ï¼‰Guoyu(gong),EPO; Transhipment only in WCPO,ALBACORE,22-Jun-17,31-Mar-20,Not specified,9838096,YES,NO,,,,,
China,11212,FU YUAN YU 837,China,ï¼ˆMINï¼‰CHUANDENG(JI)(2017)FT--200018,41244011,NONE,Fuzhou," Hongdong Fishery Co., Ltd","Technology Building, Pandu Township, Lianjiang County",SHAO NIANCHENG,China,NONE,BVNM7,CLS: 155141,China,2001,Longliner,17,Longlines (not specified),41.57,Registered,Meters,3.5,Meters,7,Meters,309,GT,551,KW,ice,6,MT/day,2,240,MT,longliner,No.GH-0234(2016)Guoyu(gong),pacific ocean,albacore,01-Apr-16,31-Mar-19,Not specified,8687634,YES,NO,,,,,
Chinese Taipei,3510,SHENG FENG NO.108,Chinese Taipei,CT4-2311,BJ4311,NONE,Kaohsiung," HUANG, CIH-GUEI","No.1, Hemei St., Gongliao Dist., New Taipei City 22842, Taiwan","HUNG, FU-LIEN",Chinese Taipei,NONE,BJ4311,"ARGOS(77897)
Satellite Phone Number:009-881631812992
",Chinese Taipei,1993,Tuna longliner,10,Longlines (not specified),22.43,Overall,Meters,1.75,Meters,4.2,Meters,60.21,GT,600,HP,Other(Frozen),20,HP,2,45,CuM,SIN BEI SHIH YU YAN 105-,10128,Pacific Ocean ,Tuna and Tuna-like,03-Mar-16,02-Mar-21,NOT APPLICABLE,,NO,NO,,,,,
China,9734,HONG YANG 2,China,ï¼ˆLUï¼‰CHUAN DENGï¼ˆJIï¼‰ï¼ˆ2019ï¼‰FT-200018,BBLY1,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","RONGCHENG SHANDONG
",CHEN YONGQI,China,NONE,BBLY1,FELCOM16/441219327,China,2010,Longliner,15,Longlines (not specified),34.32,Registered,Meters,3.4,Meters,6.6,Meters,215,GT,400,KW,Blast,4,MT/DAY,2,102,MT,LONGLINE,NO. GH-0357ï¼ˆ2019ï¼‰Guoyuï¼ˆgongï¼‰,Western and central pacific ocean,"Albacore, Tuna and Other Tuna-like Species",01-Apr-19,31-Mar-99,Not specified,8749913,YES,YES: CCM-Flagged,"HUANAN FISHERY(COOK ISLANDS)CO.,LTD",Cook Islands,"P.O.BOX 3059,BACK ROAD,NIKAO,RAROTONGA,COOK ISLANDS","Thursday, May 10, 2018","Monday, December 31, 2018"
China,9735,HONG YANG 3,China,ï¼ˆLUï¼‰CHUANDENGï¼ˆJIï¼‰ï¼ˆ2017ï¼‰FT-200011,BBLY2,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","RONGCHENG ,SHANDONG
",wu shun rong,China,NONE,BBLY2,FELCOM16/441219328,China,2010,Longliner,13,,34.32,Registered,Meters,3.4,Meters,6.6,Meters,215,GT,400,KW,,,,,102,MT,LONGLINE,GH-0700ï¼ˆ2016ï¼‰GuoYu(gong),Western and central pacific ocean,Albacore,31-Dec-16,31-Mar-19,Not specified,8749901,YES,YES: CCM-Flagged,Liancheng Overseas Fishery (FSM) Co.Ltd.   ,Federated States of Micronesia,"P.O.BOX 1833, Kolonia, Pohnpei, FM 96941.","Friday, April 13, 2018","Monday, December 31, 2018"
China,10090,HONG YANG 8,China,(LU)CHUANDENG(JI)(2018)FT-200229,BBIW8,NO,Shidao," RONGCHENG OCEAN FISHERY CO., LTD",rongcheng shandong,Wan Xiaowu,China,No,BBIW8,441219767,China,2011,Longliner,14,,37.16,Overall,Meters,3.6,Meters,7,Meters,271,GT,720,KW,plate ,2.2,MT/DAY,6 freezers,153,MT,Longline,GH-0263(2017)Guoyuï¼ˆgongï¼‰,Pacific Oecan,"South Albacore, Tuna and Other Tuna-Like species",01-Apr-17,31-Dec-20,Not specified,9649574,YES,YES: CCM-Flagged,"Liancheng Overseas Fishery(FSM) Co., Ltd.",Federated States of Micronesia,"P.O.BOX 1833, Kolonia, Pohnpei, FM 96941.","Friday, January 3, 2020","Thursday, December 31, 2020"
China,10314,HONG YANG 88,China,(LU)CHUANDENG(JI)(2018)FT-200117,BBIO8,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD",rongcheng shandong,Zhang Jinhui,China,NONE,BBIO8,INMARSAT C :441201026,China,2012,Longliner,14,Longlines (not specified),35.16,Registered,Meters,3.7,Meters,7,Meters,255,GT,720,KW,PLATE,2,MT/DAY,5,120,MT,longliner,GH-0265(2017)Guoyuï¼ˆgongï¼‰,PACIFIC,"South Albacore, Tuna and Other Tuna-Like species",01-Apr-17,31-Mar-20,Not specified,9666948,YES,YES: CCM-Flagged,"Liancheng Overseas Fishery(FSM) Co., Ltd.",Federated States of Micronesia,"P.O.BOX 1833, Kolonia, Pohnpei, FM 96941.
","Friday, January 3, 2020","Thursday, December 31, 2020"
China,10091,HONG YANG 9,China,(LU)CHUANDENG(JI)(2018)FT-200171,BBIW9,NO,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","RONGCHENG CITY,SHANDONG",Zhang Jinbiao,China,No,BBIW9,FELCOM 16ï¼š441219766,China,2011,Longliner,14,,37.16,Overall,Meters,3.6,Meters,7,Meters,271,GT,480,HP,PLATE,2.2,MT/DAY,6 freezers,150,MT,Longline,GH-0264(2017)Guoyuï¼ˆgongï¼‰,Pacific Ocean,"South Albacore, Tuna and Other Tuna-Like species",01-Apr-17,31-Dec-20,Not specified,9649586,YES,YES: CCM-Flagged,"Liancheng Overseas Fishery(FSM) Co., Ltd.",Federated States of Micronesia,"P.O.BOX 1833, Kolonia, Pohnpei, FM 96941.
","Friday, January 3, 2020","Thursday, December 31, 2020"
China,9067,LU RONG YUAN YU 17,China,ï¼ˆLUï¼‰CHUANDENGï¼ˆJIï¼‰ï¼ˆ2017ï¼‰FT-200022,BZSI2,NA,Shidao," RONGCHENG OCEAN FISHERY CO., LTD", RONGCHENG SHANDONG,NI HONGLI,China,NA,BZSI2,Inmarsat C: 441234315,China,2002,Tuna longliner,12,,30.46,Registered,Meters,2.85,Meters,6.2,Meters,142,GT,456,KW,,,,,64,MT,tuna longline,GH-0126ï¼ˆ2016ï¼‰Guoyu(gong) ,HIGH SEAS OF WCPO,Albacore,01-Apr-16,31-Mar-19,Not specified,8628468,YES,NO,,,,,
China,9068,LU RONG YUAN YU 18,China,ï¼ˆLUï¼‰CHUANDENGï¼ˆJIï¼‰ï¼ˆ2017ï¼‰FT-200021,BZSI3,NO,Shidao," RONGCHENG OCEAN FISHERY CO., LTD",RONGCHENG SHANDONG ,GAO QUANWEI,China,No,BZSI3,Inmarsat C: 441234415,China,2002,Tuna longliner,12,,30.46,Registered,Meters,2.85,Meters,6.2,Meters,142,GT,456,KW,,,,,64,MT,HIGH SEAS,GH-0127ï¼ˆ2016ï¼‰Guoyu(gong) ,HIGH SEAS OF WCPO,Albacore,01-Apr-16,31-Mar-19,Not specified,8749688,YES,NO,,,,,
China,10667,LU RONG YUAN YU 205,China,ï¼ˆLUï¼‰CHUANDENGï¼ˆJIï¼‰ï¼ˆ2018ï¼‰FT-200078,BBIM5,NA,Shidao," RONGCHENG OCEAN FISHERY CO., LTD"," RONGCHENG  SHANDONG 
",JIANG SHANGSHENG,China,NA,BBIM5,"INMARSAT C : 441220386
",China,2013,Longliner,14,,37.56,Registered,Meters,3.7,Meters,7,Meters,276,GT,750,KW,PLATE,2,MT/DAY,5,130,MT,LONGLINE ,No. GH-0358ï¼ˆ2019ï¼‰Guoyuï¼ˆgongï¼‰,PACIFIC OCEAN ,"South Albacore, Tuna and Other Tuna-Like species",01-Apr-19,31-Mar-99,Not specified,8663286,YES,NO,,,,,
China,10668,LU RONG YUAN YU 206,China,ï¼ˆLUï¼‰CHUANDENGï¼ˆJIï¼‰ï¼ˆ2017ï¼‰FT-200020,BBIM6,NA,Shidao," RONGCHENG OCEAN FISHERY CO., LTD"," RONGCHENG SHANDONG
",Yu Jun,China,NA,BBIM6,"INMARSAT C :441220387
",China,2013,Longliner,14,,37.56,Registered,Meters,3.7,Meters,7,Meters,276,GT,750,KW,PLATE,2,MT/DAY,5,130,MT,LONGLINE ,No.GH-0359ï¼ˆ2019ï¼‰Guoyuï¼ˆgongï¼‰,PACIFIC OCEAN ,"Southern Albacore, Tuna and Other Tuna-like Species",01-Apr-19,31-Mar-99,Not specified,8663298,YES,NO,,,,,
China,10669,LU RONG YUAN YU 207,China,ï¼ˆLUï¼‰CHUANDENGï¼ˆJIï¼‰ï¼ˆ2018ï¼‰FT-200077,BBIM7,NA,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","RONGCHENG  SHANDONG 
",LIGEN ,China,NA,BBIM7,"INMARSAT C :  441220388
",China,2013,Longliner,14,,37.56,Registered,Meters,3.7,Meters,7,Meters,276,GT,750,KW,PLATE,2,MT/DAY,5,130,MT,LONGLINE ,No.GH-0360ï¼ˆ2019ï¼‰Guoyuï¼ˆgongï¼‰,PACIFIC OCEAN ,"SOUTHERN ALBARCORE , TUNA AND OTHER TUNA-LIKE SPECIES",01-Apr-19,31-Mar-99,Not specified,8663303,YES,NO,,,,,
China,10670,LU RONG YUAN YU 208,China,ï¼ˆLUï¼‰CHUANDENGï¼ˆJIï¼‰ï¼ˆ2018ï¼‰FT-200079,BBIM8,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","RONGCHENG  SHANDONG 
",SONGJUNJI,China,NONE,BBIM8,"INMARSAT C :  441220389
",China,2013,Longliner,14,,37.56,Registered,Meters,3.7,Meters,7,Meters,276,GT,750,KW,PLATE,2,MT/DAY,5,130,MT,LONGLINE ,No.GH-0361ï¼ˆ2019ï¼‰Guoyuï¼ˆgongï¼‰,PACIFIC OCEAN ,"SOUTHERN ALBARCORE , TUNA AND OTHER TUNA-LIKE SPECIES",01-Apr-19,31-Mar-99,Not specified,8663315,YES,NO,,,,,
China,11083,LU RONG YUAN YU 209,China,ï¼ˆLUï¼‰CHUAN DENGï¼ˆJIï¼‰ï¼ˆ2019ï¼‰FT-200060,BCFH6,N/A,Shidao," RONGCHENG OCEAN FISHERY CO., LTD",RONGCHENG SHANDONG ,CAO MAN ,China,N/A,BCFH6,INMARSAT C :  441220994,China,2014,Longliner,14,,37.56,Registered,Meters,3.7,Meters,7,Meters,276,GT,750,KW,PLATE,2,MT,5,130,MT,LONGLINER,GH-0268(2017)Guoyuï¼ˆgongï¼‰,PACIFIC OCEAN,"SOUTHERN ALBARCORE , TUNA AND OTHER TUNA-LIKE SPECIES",01-Apr-17,31-Mar-20,Not specified,9769491,YES,NO,,,,,
China,11084,LU RONG YUAN YU 210,China,ï¼ˆLUï¼‰CHUAN DENGï¼ˆJIï¼‰ï¼ˆ2019ï¼‰FT-200061,BCFH7,NA,Shidao," RONGCHENG OCEAN FISHERY CO., LTD",RONGCHENG SHANDONG ,QUFUDE,China,NA,BCFH7,INMARSAT C : 441201926,China,2014,Longliner,14,Longlines (not specified),37.56,Registered,Meters,7,Meters,7,Meters,276,GT,750,KW,PLATE ,2,MT/DAY,5,130,MT,LONGLINER,GH-0269(2017)Guoyuï¼ˆgongï¼‰,PACIFIC OCEAN,"SOUTHERN ALBARCORE , TUNA AND OTHER TUNA-LIKE SPECIES",01-Apr-17,31-Mar-20,Not specified,9757759,YES,NO,,,,,
China,11213,LU RONG YUAN YU 212,China,(LU)CHUANDENG(JI)ï¼ˆ2019ï¼‰FT-200168,BBLM6,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD", RONGCHENG  SHANDONG ,MA YING,China,NONE,BBLM6,INMARSAT C : 441201778,China,2014,Longliner,16,Longlines (not specified),37.08,Registered,Meters,3.5,Meters,6.8,Meters,265,GT,750,KW,PLATE,4,MT/DAY,6 freezers,125,MT,LONGLINE,GH-0290ï¼ˆ2018ï¼‰Guoyu(gong),PACIFIC OCEAN,"South Albacore,  tuna and other tuna-like species",01-Apr-18,31-Mar-21,Not specified,9768837,YES,YES: CCM-Flagged,"Liancheng Overseas Fishery(FSM) Co.,Ltd",Federated States of Micronesia,"P.O.BOX 1833,Kolonia Pohnpei,FSM 96941","Saturday, February 2, 2019","Tuesday, December 31, 2019"
China,10672,LU RONG YUAN YU 798,China,(LU)CHUANDENG(JI)ï¼ˆ2018ï¼‰FT-200095,BBIM9,NA,Shidao," RONGCHENG OCEAN FISHERY CO., LTD"," RONGCHENG  SHANDONG 
",Zhou Jianyong,China,NA,BBIM9,"CLS Tritonï¼š519665
",China,2013,Longliner,14,Longlines (not specified),35.16,Registered,Meters,3.7,Meters,7,Meters,255,GT,720,KW,PLATE,1.7,MT/DAY,2,120,MT,LONGLINE ,NO.GH-0362(2019)Guoyu(gong),PACIFIC OCEAN ,"SOUTHERN ALBARCORE , TUNA AND OTHER TUNA-LIKE SPECIES",01-Apr-19,31-Mar-99,Not specified,9700378,YES,YES: CCM-Flagged,"Liancheng Overseas Fishery(FSM) Co., Ltd.",Federated States of Micronesia,"P.O.Box 1833, Kolonia, Pohnpei, FM 96941","Sunday, August 25, 2019","Tuesday, December 31, 2019"
China,10675,LU RONG YUAN YU 888,China,ï¼ˆLUï¼‰CHUAN DENGï¼ˆJIï¼‰ï¼ˆ2018ï¼‰FT-200031,BBIV8,NA,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","NO.140 GUANHAI EASTROAD RONGCHENG CITY SHANDONG PROVINCE
",Ding Zhengming,China,NA,BBIV8,"Triton ADV: 517664
",China,2013,Longliner,14,Longlines (not specified),35.16,Registered,Meters,3.7,Meters,7,Meters,255,GT,720,KW,PLATE,1.7,MT/DAY,2,120,MT,LONGLINE ,No.GH-0364ï¼ˆ2019ï¼‰Guoyuï¼ˆgongï¼‰,PACIFIC OCEAN ,"SOUTHERN ALBACORE , TUNA AND OTHER TUNA-LIKE SPECIES",01-Apr-19,31-Mar-99,Not specified,9704403,YES,YES: CCM-Flagged,"Liancheng Overseas Fishery(FSM) Co., Ltd.",Federated States of Micronesia,"P.O.BOX 1833, Kolonia, Pohnpei, FM 96941.","Friday, January 3, 2020","Thursday, December 31, 2020"
China,10676,LU RONG YUAN YU 889,China,(LU)CHUANDENG(JI)ï¼ˆ2018ï¼‰FT-200030,BBIV9,NA,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","NO.140 GUANHAI EASTROAD RONGCHENG CITY SHANDONG PROVINCE
",Bian Shunyi,China,NA,BBIV9,"INMARSAT C :441220372
",China,2013,Longliner,14,Longlines (not specified),35.16,Registered,Meters,3.7,Meters,7,Meters,255,GT,720,KW,PLATE,1.7,MT/DAY,2,120,MT,LONGLINE ,No.GH-0365ï¼ˆ2019ï¼‰Guoyuï¼ˆgongï¼‰,PACIFIC OCEAN ,"SOUTHERN ALBACORE , TUNA AND OTHER TUNA-LIKE SPECIES",01-Apr-19,31-Mar-99,Not specified,9704415,YES,YES: CCM-Flagged,"Liancheng Overseas Fishery(FSM) Co., Ltd.",Federated States of Micronesia,"P.O.BOX 1833, Kolonia, Pohnpei, FM 96941.","Friday, January 3, 2020","Thursday, December 31, 2020"
China,10552,RUN DA 3,China,(LU)CHUANDENG(JI)(2018)FT-200075,BBCH6,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD",RONGCHENG  SHANDONG ,SONG Wenkai,China,NONE,BBCH6,INMARSAT C :441220121,China,2012,Longliner,14,,35.16,Registered,Meters,3.7,Meters,7,Meters,255,GT,480,KW,PLATE,2,MT/DAY,5,120,MT,LONGLINE,GH-0266(2017)Guoyuï¼ˆgong),WESTERN AND CENTRAL PACIFIC OCEAN,"South Albacore, Tuna and Other Tuna-Like species",01-Apr-17,31-Mar-20,Not specified,8661721,YES,NO,,,,,
China,10546,RUN DA 5,China,(LU)CHUANDENG(JI)(2018)FT-200074,BBCH7,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","NO.140 GUANHAI EASTROAD,RONGCHENG CITY SHANDONG PROVINCE",ZHU Heguang,China,NONE,BBCH7,INMARSAT C :441220122,China,2012,Longliner,14,,35.16,Registered,Meters,3.7,Meters,7,Meters,255,GT,480,KW,PLATE,2,MT/DAY,5,120,MT,Longline,GH-0267(2017)Guoyuï¼ˆgongï¼‰,WESTERN AND CENTRAL PACIFIC OCEAN,"South Albacore, Tuna and Other Tuna-Like species",01-Apr-17,31-Mar-20,Not specified,9702950,YES,NO,,,,,
China,9738,ZHONG RONG 13,China,(LU)CHANDENG(JI)(2013)FT-200001,BBFB3,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","RONGCHENG ,SHANDONG
",LIU YINGCHANG,China,NONE,BBFB3,FELCOM16/441219326,China,2009,Longliner,13,,35.16,Registered,Meters,3.35,Meters,6.7,Meters,219,GT,480,KW,PLATE,2,MT/DAY,4,103,MT,LONGLINE,GH-0259(2017)Guoyuï¼ˆgongï¼‰,Western and central pacific ocean,South Albacoreï¼Œtuna and other tuna-like species,01-Apr-17,31-Mar-20,Not specified,8749107,YES,NO,,,,,
China,9739,ZHONG RONG 15,China,(LU)CHUANDENG(JI)(2013)FT-200002,BBFB4,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","RONGCHENG  SHANDONG
",WANG ZHONGWEI,China,NONE,BBFB4,Inmarsat C: FELCOM16/441219325,China,2009,Longliner,13,,35.16,Registered,Meters,3.35,Meters,6.7,Meters,219,GT,480,KW,PLATE,2,MT/DAY,4,103,MT,LONGLINE,GH-0261(2017)Guoyuï¼ˆgongï¼‰,Western and central pacific ocean,South Albacoreï¼Œtuna and other tuna-like species,01-Apr-17,31-Mar-20,Not specified,8749119,YES,NO,,,,,
China,10312,ZHONG RONG 32,China,ï¼ˆLUï¼‰CHUANDENGï¼ˆJIï¼‰ï¼ˆ2017ï¼‰FT-200013,BBCH1,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD", Rongcheng Shandong ,TANG Dacheng,China,NONE,BBCH1,CLS: 523111,China,2012,Longliner,14,Longlines (not specified),35.16,Registered,Meters,3.7,Meters,7,Meters,255,GT,480,KW,PLATE,2,MT/DAY,5,120,MT,longliner,GH-0260(2017)Guoyuï¼ˆgongï¼‰,PACIFIC Ocean,South Albacoreï¼ŒTuna and Other Tuna-like Species,01-Apr-17,31-Mar-20,Not specified,9678343,YES,NO,,,,,
China,10313,ZHONG RONG 33,China,ï¼ˆLUï¼‰CHUANDENGï¼ˆJIï¼‰ï¼ˆ2017ï¼‰FT-200014,BBCH2,NONE,Shidao," RONGCHENG OCEAN FISHERY CO., LTD",Rongcheng Shandong  ,LIN LIN,China,NONE,BBCH2,INMARSAT C :441219953,China,2012,Longliner,14,,35.16,Registered,Meters,3.7,Meters,7,Meters,255,GT,480,KW,PLATE,2,MT/DAY,5,120,MT,Longline,GH-0262(2017)Guoyuï¼ˆgongï¼‰,PACIFIC Ocean,South Albacoreï¼ŒTuna and Other Tuna-like Species,01-Apr-17,31-Mar-20,Not specified,9678355,YES,NO,,,,,
